RAP,GID,Tissue,Organ,Gene.ID,References
Os01g0155600,LOC_Os01g06290,"leaf mesophyll,leaf procambium",Leaf,Os01g0155600,PCMDB
Os01g0157900,LOC_Os01g06460,mestome sheath,Leaf,Os01g0157900,PCMDB
Os01g0158200,LOC_Os01g06490,"leaf mesophyll,leaf procambium",Leaf,OsSCP1,PCMDB
Os01g0158400,LOC_Os01g06500,"leaf mesophyll,Phloem",Leaf,Os01g0158400,PCMDB
Os01g0158500,LOC_Os01g06510,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os01g0158500,PCMDB
Os01g0159000,LOC_Os01g06560,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,OsDOG1L-2,PCMDB
Os01g0159200,LOC_Os01g06580,"mestome sheath,Xylem",Leaf,OsFLA8,PCMDB
Os01g0159300,LOC_Os01g06590,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0159300,PCMDB
Os01g0159400,LOC_Os01g06600,mestome sheath,Leaf,Os01g0159400,PCMDB
Os01g0159800,LOC_Os01g06640,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,OsbHLH035,PCMDB
Os01g0160800,LOC_Os01g06740,"leaf epidermis,mestome sheath,leaf procambium",Leaf,Os01g0160800,PCMDB
Os01g0164400,LOC_Os01g07070,"leaf epidermis,leaf mesophyll",Leaf,Os01g0164400,PCMDB
Os01g0164600,LOC_Os01g07090,leaf mesophyll,Leaf,OsPP2C01,PCMDB
Os01g0166100,LOC_Os01g07200,"leaf epidermis,leaf mesophyll,mestome sheath,leaf procambium",Leaf,Os01g0166100,PCMDB
Os01g0166500,LOC_Os01g07240,leaf epidermis,Leaf,P0028E10.1,PCMDB
Os01g0167400,LOC_Os01g07300,leaf mesophyll,Leaf,P0028E10.7,PCMDB
Os01g0167500,LOC_Os01g07310,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,P0028E10.8,PCMDB
Os01g0167900,LOC_Os01g07360,"leaf mesophyll,leaf procambium",Leaf,P0028E10.14,PCMDB
Os01g0168100,LOC_Os01g07370,mestome sheath,Leaf,P0028E10.16,PCMDB
Os01g0168400,LOC_Os01g07390,"leaf epidermis,mestome sheath,leaf procambium",Leaf,Os01g0168400,PCMDB
Os01g0168600,LOC_Os01g07410,leaf epidermis,Leaf,Os01g0168600,PCMDB
Os01g0168800,LOC_Os01g07420,"mestome sheath,Xylem",Leaf,P0028E10.22,PCMDB
Os01g0169900,LOC_Os01g07520,mestome sheath,Leaf,Os01g0169900,PCMDB
Os01g0170000,LOC_Os01g07530,"leaf epidermis,leaf mesophyll",Leaf,RS5,PCMDB
Os01g0172000,LOC_Os01g07720,"leaf epidermis,leaf mesophyll,mestome sheath",Leaf,Os01g0172000,PCMDB
Os01g0172100,LOC_Os01g07730,"leaf epidermis,leaf mesophyll",Leaf,OsPPT3,PCMDB
Os01g0172400,LOC_Os01g07760,leaf mesophyll,Leaf,OsPLDalpha1,PCMDB
Os01g0172800,LOC_Os01g07780,"leaf epidermis,leaf mesophyll,leaf procambium",Leaf,Os01g0172800,PCMDB
Os01g0173100,LOC_Os01g07810,leaf mesophyll,Leaf,OsAlba1,PCMDB
